'func','type','sim','file count','throughput (byte/sec)','elapsed_time','bytes'
get_dHdl_XVG,total,rep2repghost_state_26_x2,306,15746068.408510113,139.9004819393158,2202882559
get_dHdl_XVG,total,rep2repghost_state_50_x1,277,16839464.284479015,137.5703775882721,2316611460
get_dHdl_XVG,total,rep2repghost_state_20_x1,320,15607024.00895121,141.89481663703918,2214555810
get_dHdl_XVG,total,rep2repghost_state_40_x2,290,16256361.18088512,138.28906512260437,2248076990
get_dHdl_XVG,total,rep2repghost_state_30_x2,270,14585753.204269677,148.22148823738098,2161922047
get_dHdl_XVG,total,rep2repghost_state_46_x1,312,16368521.476720586,138.3592824935913,2264736887
get_dHdl_XVG,total,rep2repghost_state_78_x2,287,15428173.984700635,141.8813920021057,2188970801
get_dHdl_XVG,total,rep2repghost_state_36_x1,273,16258522.01229041,135.3029294013977,2199825656
get_dHdl_XVG,total,rep2repghost_state_80_x1,320,15322329.254415428,143.58110666275024,2199996991
get_dHdl_XVG,total,rep2repghost_state_28_x1,313,14808892.635824576,148.2479293346405,2195387669
get_dHdl_XVG,total,rep2repghost_state_16_x2,303,15263726.107549459,141.5351758003235,2160354158
get_dHdl_XVG,total,rep2repghost_state_58_x1,298,15477056.638959022,144.72490191459656,2239915504
get_dHdl_XVG,total,rep2repghost_state_66_x2,301,15459504.890128752,142.8992793560028,2209152108
get_dHdl_XVG,total,rep2repghost_state_10_x1,303,14772389.027086519,146.89106440544128,2169931948
get_dHdl_XVG,total,rep2repghost_state_60_x1,278,14289185.318294387,154.37585067749023,2205905139
get_dHdl_XVG,total,rep2repghost_state_4_x2,341,14212794.031862777,153.63846468925476,2183631854
get_dHdl_XVG,total,rep2repghost_state_70_x2,293,14919052.772895787,147.37777876853943,2198736859
get_dHdl_XVG,total,rep2repghost_state_38_x2,286,15091221.582728632,146.7480013370514,2214606605
get_dHdl_XVG,total,rep2repghost_state_76_x1,273,15138270.180559903,140.9055426120758,2133066174
get_dHdl_XVG,total,rep2repghost_state_48_x2,292,16043356.647889635,144.03165769577026,2310751253
get_dHdl_XVG,total,rep2repghost_state_2_x1,327,14471598.690214766,149.31947445869446,2160891511
get_dHdl_XVG,total,rep2repghost_state_0_x1,288,14599883.042417524,145.2311851978302,2120358318
get_dHdl_XVG,total,rep2repghost_state_74_x1,300,15111343.352488311,146.86594462394714,2219341716
get_dHdl_XVG,total,rep2repghost_state_72_x2,303,14985122.467135964,141.78910326957703,2124727077
get_dHdl_XVG,total,rep2repghost_state_6_x2,333,13595833.23845959,160.21590113639832,2178268674
get_dHdl_XVG,total,rep2repghost_state_12_x1,286,15357743.461529324,140.62432670593262,2159672334
get_dHdl_XVG,total,rep2repghost_state_62_x1,299,15415376.204756178,143.43933749198914,2211171350
get_dHdl_XVG,total,rep2repghost_state_14_x2,115,13189674.971661342,169.23803329467773,2232194652
get_dHdl_XVG,total,rep2repghost_state_64_x2,297,14502820.612311779,152.65696144104004,2213956527
get_dHdl_XVG,total,rep2repghost_state_66_x1,303,14342944.214962628,151.05189538002014,2166528909
get_dHdl_XVG,total,rep2repghost_state_58_x2,309,15300337.701663226,143.47549438476562,2195223516
get_dHdl_XVG,total,rep2repghost_state_16_x1,305,15146504.41376981,143.1456334590912,2168155969
get_dHdl_XVG,total,rep2repghost_state_28_x2,326,14663351.238728877,152.07759261131287,2229967156
get_dHdl_XVG,total,rep2repghost_state_80_x2,322,14541153.168512866,149.99161171913147,2181051000
get_dHdl_XVG,total,rep2repghost_state_60_x2,298,15050726.77065407,145.48265099525452,2189619630
get_dHdl_XVG,total,rep2repghost_state_10_x2,300,14903767.638182636,143.92390871047974,2145008493
get_dHdl_XVG,total,rep2repghost_state_70_x1,320,14915664.712480655,148.82732582092285,2219858492
get_dHdl_XVG,total,rep2repghost_state_4_x1,299,14814949.460517012,145.49950695037842,2155567842
get_dHdl_XVG,total,rep2repghost_state_2_x2,295,14783883.901824746,144.51634740829468,2136512902
get_dHdl_XVG,total,rep2repghost_state_48_x1,336,15163275.326814087,151.95167088508606,2304085022
