'func','type','sim','filename','throughput (byte/sec)','elapsed_time','bytes','start_time','end_time'
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0001.xvg,18380653.56478317,0.5939526557922363,10917238,1552545343.8628373,1552545344.45679
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0002.xvg,4792630.160930621,0.26906394958496094,1289524,1552545344.457393,1552545344.7264569
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0003.xvg,12016169.989321157,0.15007710456848145,1803352,1552545344.726769,1552545344.876846
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0004.xvg,9644018.576917587,0.1352832317352295,1304674,1552545344.8770368,1552545345.01232
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0005.xvg,20076934.819644287,0.5480294227600098,11002751,1552545345.0126274,1552545345.5606568
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0006.xvg,8430339.373193203,0.15448808670043945,1302387,1552545345.5609758,1552545345.7154639
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0007.xvg,5032714.850634037,0.2564733028411865,1290757,1552545345.7157552,1552545345.9722285
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0008.xvg,13922689.76293662,0.12657546997070312,1762271,1552545345.972816,1552545346.0993915
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0009.xvg,6648838.292469917,0.07239866256713867,481367,1552545346.09984,1552545346.1722386
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0010.xvg,13114483.484082617,0.09971189498901367,1307670,1552545346.1724348,1552545346.2721467
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0011.xvg,7536105.305571839,0.1728498935699463,1302615,1552545346.2722778,1552545346.4451277
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0012.xvg,17833707.64557123,0.47968292236328125,8554525,1552545346.4452572,1552545346.92494
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0013.xvg,15057986.149784615,0.11711406707763672,1763502,1552545346.9251788,1552545347.0422928
get_dHdl_XVG,loop,unres2res_state_26_x1,md.part0014.xvg,25869932.694744572,0.3078274726867676,7963476,1552545347.0424137,1552545347.3502412
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0001.xvg,20436362.33892675,0.540184736251831,11039411,1552545347.8781238,1552545348.4183085
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0002.xvg,19776726.85183232,0.5578312873840332,11032077,1552545348.4185529,1552545348.9763842
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0003.xvg,21213863.883500326,0.5218782424926758,11071054,1552545348.9766462,1552545349.4985244
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0004.xvg,7447259.393295021,0.17598581314086914,1310612,1552545349.4988575,1552545349.6748433
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0005.xvg,14976408.624910321,0.08773231506347656,1313915,1552545349.6750538,1552545349.7627861
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0006.xvg,10293464.720711555,0.1274862289428711,1312275,1552545349.7629054,1552545349.8903916
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0007.xvg,12440104.773185672,0.14260482788085938,1774019,1552545349.8905041,1552545350.033109
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0008.xvg,2197866.4497920666,0.5994472503662109,1317505,1552545350.0332394,1552545350.6326866
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0009.xvg,13097432.323955612,0.09975504875183105,1306535,1552545350.632846,1552545350.7326012
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0010.xvg,16286858.877731478,0.5323874950408936,8670920,1552545350.7328813,1552545351.2652688
get_dHdl_XVG,loop,unres2res_state_30_x1,md.part0011.xvg,8067995.286959728,0.28452396392822266,2295538,1552545351.2655303,1552545351.5500543
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0001.xvg,7724540.20050772,0.05137276649475098,396831,1552545352.6004012,1552545352.651774
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0002.xvg,8997282.345965596,0.14350366592407227,1291143,1552545352.651986,1552545352.7954895
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0003.xvg,7225428.877219805,0.24046683311462402,1737476,1552545352.7957983,1552545353.0362651
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0004.xvg,16282099.62944894,0.10888147354125977,1772819,1552545353.0364873,1552545353.1453688
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0005.xvg,16329244.935981797,0.10855388641357422,1772603,1552545353.145503,1552545353.254057
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0006.xvg,9145661.842651082,0.19573640823364258,1790139,1552545353.2541962,1552545353.4499326
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0007.xvg,17497950.997518912,0.46932506561279297,8212227,1552545353.4500687,1552545353.9193938
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0008.xvg,25178805.862059407,0.34579014778137207,8706583,1552545353.9196396,1552545354.2654297
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0009.xvg,12252415.346755555,0.10707521438598633,1311930,1552545354.2656891,1552545354.3727643
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0010.xvg,7906693.436217319,0.16718316078186035,1321866,1552545354.372896,1552545354.540079
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0011.xvg,20364420.213806443,0.5339879989624023,10874356,1552545354.540193,1552545355.074181
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0012.xvg,9874030.491240444,0.129136323928833,1275096,1552545355.0744138,1552545355.20355
get_dHdl_XVG,loop,unres2res_state_40_x1,md.part0013.xvg,14533395.157304227,0.2565302848815918,3728256,1552545355.203822,1552545355.4603522
