'func','type','sim','file count','throughput (byte/sec)','elapsed_time','bytes','start_time','end_time'
get_dHdl_XVG,total,unres2res_state_26_x1,14,11372182.824071432,4.576615571975708,52046109,1553125501.5797305,1553125506.156346
get_dHdl,hdf5_write,unres2res_state_26_x1,14,0,0.5189695358276367,52046109,1553125506.2250805,1553125506.74405
get_dHdl_XVG,total,unres2res_state_30_x1,11,12256608.725664044,4.278823137283325,52443861,1553125506.7458265,1553125511.0246496
get_dHdl,hdf5_write,unres2res_state_30_x1,11,0,0.06696796417236328,52443861,1553125511.1291878,1553125511.1961558
get_dHdl_XVG,total,unres2res_state_40_x1,19,8380199.926662271,6.273613214492798,52574133,1553125511.1972036,1553125517.4708169
get_dHdl,hdf5_write,unres2res_state_40_x1,19,0,24.677865505218506,52574133,1553125517.579818,1553125542.2576835
get_dHdl_XVG,total,unres2res_state_32_x1,17,10261765.826120377,5.073848485946655,52066645,1553125542.259623,1553125547.3334715
get_dHdl,hdf5_write,unres2res_state_32_x1,17,0,0.06435275077819824,52066645,1553125547.4064124,1553125547.470765
get_dHdl_XVG,total,unres2res_state_24_x1,14,10131699.92213223,5.105653285980225,51728947,1553125547.472262,1553125552.5779152
get_dHdl,hdf5_write,unres2res_state_24_x1,14,0,0.052840471267700195,51728947,1553125552.6432474,1553125552.6960878
get_dHdl_XVG,total,unres2res_state_20_x1,13,10310314.300276875,4.956690311431885,51105035,1553125552.6971214,1553125557.6538117
get_dHdl,hdf5_write,unres2res_state_20_x1,13,0,0.07581138610839844,51105035,1553125557.748572,1553125557.8243835
get_dHdl_XVG,total,unres2res_state_18_x1,15,10306951.312244203,4.944116592407227,50958769,1553125557.8265743,1553125562.770691
get_dHdl,hdf5_write,unres2res_state_18_x1,15,0,0.04505205154418945,50958769,1553125562.833545,1553125562.878597
get_dHdl_XVG,total,unres2res_state_8_x1,17,11101611.385865528,4.4444334506988525,49340373,1553125562.8798757,1553125567.324309
get_dHdl,hdf5_write,unres2res_state_8_x1,17,0,0.06262612342834473,49340373,1553125567.3865974,1553125567.4492235
get_dHdl_XVG,total,unres2res_state_36_x1,16,9223165.733858274,5.703979253768921,52608746,1553125567.45075,1553125573.1547294
get_dHdl,hdf5_write,unres2res_state_36_x1,16,0,0.08535456657409668,52608746,1553125573.2212434,1553125573.306598
get_dHdl_XVG,total,unres2res_state_34_x1,20,9206616.595002517,5.680425643920898,52297501,1553125573.3088174,1553125578.989243
get_dHdl,hdf5_write,unres2res_state_34_x1,20,0,20.90010952949524,52297501,1553125579.0651305,1553125599.96524
get_dHdl_XVG,total,unres2res_state_22_x1,16,10933978.33066494,4.70533299446106,51448009,1553125599.967426,1553125604.672759
get_dHdl,hdf5_write,unres2res_state_22_x1,16,0,0.047425270080566406,51448009,1553125604.7433786,1553125604.790804
get_dHdl_XVG,total,unres2res_state_2_x1,23,8213107.065357465,5.832909107208252,47906307,1553125604.7920113,1553125610.6249204
get_dHdl,hdf5_write,unres2res_state_2_x1,23,0,0.04455852508544922,47906307,1553125610.697743,1553125610.7423015
get_dHdl_XVG,total,unres2res_state_12_x1,14,9782053.179742265,5.116884469985962,50053636,1553125610.7436256,1553125615.86051
get_dHdl,hdf5_write,unres2res_state_12_x1,14,0,0.0474395751953125,50053636,1553125615.9287348,1553125615.9761744
get_dHdl_XVG,total,unres2res_state_10_x1,22,9438654.948667793,5.263779878616333,49683002,1553125615.9773252,1553125621.241105
get_dHdl,hdf5_write,unres2res_state_10_x1,22,0,0.04401564598083496,49683002,1553125621.3091023,1553125621.353118
get_dHdl_XVG,total,unres2res_state_28_x1,13,12436370.339991791,4.2035486698150635,52276888,1553125621.3552694,1553125625.558818
get_dHdl,hdf5_write,unres2res_state_28_x1,13,0,0.045006752014160156,52276888,1553125625.6263664,1553125625.6713731
get_dHdl_XVG,total,unres2res_state_0_x1,16,10949401.730020393,4.3472747802734375,47600058,1553125625.6729703,1553125630.020245
get_dHdl,hdf5_write,unres2res_state_0_x1,16,0,24.96935200691223,47600058,1553125630.0889804,1553125655.0583324
get_dHdl_XVG,total,unres2res_state_4_x1,22,10296125.300761117,4.720908164978027,48607062,1553125655.0606859,1553125659.781594
get_dHdl,hdf5_write,unres2res_state_4_x1,22,0,0.07794666290283203,48607062,1553125659.8990154,1553125659.976962
get_dHdl_XVG,total,unres2res_state_14_x1,8,14644059.412891425,3.409315586090088,49926220,1553125659.9795735,1553125663.388889
get_dHdl,hdf5_write,unres2res_state_14_x1,8,0,0.045232295989990234,49926220,1553125663.454779,1553125663.5000112
get_dHdl_XVG,total,unres2res_state_16_x1,17,11952060.56576497,4.223182916641235,50475738,1553125663.5013742,1553125667.7245572
